GrantNumber,DisciplineNumber
G191119,D20509
G191119,D20704
G191119,D20709
G191119,D20803
G160052,D20801
G160052,D20804
G160052,D20806
G160052,D20809
G31420,D30302
G187902,D10102
G187902,D10303
G187902,D10402
G40513,D30104
G111982,D30102
G27434,D10203
G20486,D20806
G4280,D20200
G204363,D30307
G8941,D30716
G52476,D20511
G6646,D30102
G8578,D30708
G68574,D20100
G25768,D10203
G127256,D30101
G170728,D20404
G150090,D10201
G150090,D10202
G150090,D10205
G205580,D20705
G175867,D20404
G175867,D20505
G175867,D20508
G5822,D30305
G112121,D20506
G5217,D20801
G201404,D50000
G61503,D20100
G192391,D10201
G192391,D10601
G192391,D10602
G20092,D30101
G49250,D10503
G110648,D30103
G66918,D20303
G40498,D10203
G118424,D30808
G118424,D30812
G118424,D30911
G169788,D10104
G169788,D10105
G29054,D20200
G175823,D20803
G175823,D20809
G147340,D10201
G147340,D10205
G111397,D10201
G111397,D10204
G128740,D20304
G128740,D30102
G128740,D30103
G111910,D30707
G111910,D30801
G61279,D10202
G67459,D20303
G155294,D20703
G155294,D20704
G155294,D20705
G1758,D10105
G156654,D30102
G156654,D30103
G156654,D30305
G28843,D30204
G159184,D20200
G842,D10502
G169022,D20100
G132253,D20401
G3909,D20702
G113295,D20501
G109105,D20200
G109105,D20301
G109105,D20409
G178986,D20503
G178986,D20705
G32359,D10502
G153684,D10206
G153684,D10207
G153684,D10403
